ООО "НТФ "ЦАСП";614081, Пермский край, город Пермь, улица Кронштадтская, дом 33
ООО "Учебный";628485, Ханты - Мансийский Автономный округ - Югра, город Когалым, улица Мира, дом 52
ЗАО "ЗУАЦ";614600, город Пермь, Комсомольский проспект, дом 29 А
АНО "ВРАЦ";160014, город Вологда, улица Саммера, дом 43
ООО "АЦ ПРОМЭКСПЕРТ";300034, город Тула, улица Гоголевская, 94А
ООО "Профессионал-Плюс";629801, Ямало-Ненецкий автономный округ, город Ноябрьск, улица Советская, дом 104
АО ЦНИИС;129329, город Москва, улица Кольская, дом 1
ООО "НАКС Архангельск";163045, город Архангельск, шоссе Талажское, дом 17, этаж 3, кабинет 7
ООО "АСЦ Сварка СтройТЭК";129329, город Москва, улица Кольская, дом 2, корпус 6
ООО "НАКС-Урал";620041, Свердловская область, город Екатеринбург, улица Кислородная, дом 8Д
ООО "ЛАЦ";398007, Липецкая область, город Липецк, улица Ковалева, владение 115/5, офис 1
ООО "ЦСП Мосты";394033, город Воронеж, Ленинский проспект, дом 79
ООО "ЗАПАДНО-СИБИРСКИЙ ЦОК";628406, Ханты-Мансийский автономный округ-Югра, город Сургут, шоссе Нефтеюганское, дом 62/2, сооружение 1
ООО "НАКС-ПФО";460048, Оренбургская область, город Оренбург, проезд Автоматики, дом 12
ООО "НАКС Великий Новгород";173000, город Великий Новгород, улица Федоровский ручей, дом 2/13, офис 12
АО "НАКС-Омск";644033, город Омск, улица Малая Ивановская, дом 47
ООО "СЗ АНТЦ Энергомонтаж";196642, город Санкт-Петербург, поселок Петро-Славянка, Территория Южная ТЭЦ, Цех СЗЭМ, литер АФ
ООО "ГАЦ РБ";450001, Республика Башкортостан, город Уфа, улица Пархоменко, дом 155, корпус1
ООО "ПАЦ";614077, город Пермь, бульвар Гагарина, дом 54, строение А
ООО "Головной аттестационно - сертификационный центр Центрального региона";394071, город Воронеж, улица 20-летия Октября, дом 73А
ООО "Синтез";305018, город Курск, улица Гагарина, дом 24 - 45
ООО "ГАЦ МР НАКС";105005, город Москва, улица 2-я Бауманская, дом 5, строение 14
АНО "Тамбовский аттестационный центр центрального региона национального аттестационного комитета по сварочному производству";392028, Тамбовская область, город Тамбов, улица Ипподромная, дом 22Ж
ООО "МИСиК";350051, город Краснодар, проезд Репина, дом 12
ООО "АНТЦ сварочного оборудования и технологий";420012, Республика Татарстан, город Казань, улица Волкова, дом 79
ООО "Аттестационный центр "Сварог";670009, Республика Бурятия, город Улан-Удэ, улица Комарова, дом 117
ООО "Центр Приволжского Региона "Техносвар";420126, город Казань, проспект Фатыха Амирхана, дом 10
ООО "Аттестационный Центр Городского Хозяйства";105082, город Москва, Басманный район, Переведеновский переулок, дом 13, строение 15
ООО "Аттестационный центр "Сварка";630129, город Новосибирск, улица Тайгинская, дом 9/2
ООО "НАКС-Тверь";170100, город Тверь, улица Индустриальная, дом 13
ООО Аттестационный центр "Сварка";625022, город Тюмень, Ул.Проезд Солнечный, дом 5, офис 2
ООО "НАКС-Технология";453104, Республика Башкортостан, город Стерлитамак, улица Железнодорожная, дом 9
ООО "Нижегородский Центр Сварки и Контроля";603028, город Нижний Новгород, улица Аэродромная, дом 32
ООО "НПП СКУНЦ";344018, город Ростов-на-Дону, улица Народного Ополчения, дом 213
ООО "ГОССп ЮР";344018, город Ростов-на-Дону, улица Народного Ополчения, дом 213
ООО "НАКС-Чебоксары";428000, Чувашская Республика, город Чебоксары, проспект Тракторостроителей, дом 14 В
ООО "Вятский аттестационный центр";610002, Кировская обл., г.Киров, ул. Московская, дом 107 Б, офис 402
ООО Аттестационный центр "НАКС-Хабаровск";680042, Хабаровский край, город Хабаровск, переулок Бородинский, дом 1
ООО АЦ "НАКС-Амур";676462, Амурская область, город Свободный, улица Чернышевского, дом 18
ООО "НАКС-А";416474, Астраханская область, Приволжский район, промышленная зона Кулаковский промузел, шоссе Энергетиков, дом 5Ю
ООО "Южный региональный головной аттестационный центр №3 НАКС";350051, город Краснодар, проезд Репина, дом 12
ООО Научно-производственное предприятие "КОМПЛЕКС";683031, Камчатский край, город Петропавловск-Камчатский, проспект Карла Маркса, дом 11 А
ООО "НАКС-АРКТИКА";183052, Мурманская область, город Мурманск, улица Шевченко, дом 40
ООО "СТ";420036, город Казань, улица Лядова, дом 5
ООО "ГАЦ ВСР";664075, город Иркутск, улица Байкальская, дом 202/12
ООО "НВЦ "Сварка";400007, город Волгоград, поселок Металлургов, дом 13
ООО "НАКС-Белгород";308023, Белгородская область, город Белгород, проспект Б.Хмельницкого, дом 135 Д
АНО ЦЭС "Техкранэнерго";600009, город Владимир, улица Полины Осипенко, дом 66
ООО "Тихоокеанский ГАЦ";690080, Приморский край, город Владивосток, улица Сахалинская, дом 4А
ООО "ГАЦ ЗСР НАКС";634028, город Томск, улица Тимакова, дом 19А
ООО "СКД";432027, город Ульяновск, улица Радищева, дом 140
ООО "ГАЦ ВВР";603005, город Нижний Новгород, улица Алексеевская, дом 26
ООО "ГАЦ АР НАКС";656043, Алтайский край, город Барнаул, улица Анатолия, дом 103А, офис 31
ООО "Аттестационный центр ЦНИИТМАШ";115147, город Москва, улица Абельмановская, дом 11
ООО АСЦ "ИТС СвП";117452, город Москва, Балаклавский проспект, дом 28 Б, строение 1
ООО "ИНЖИНИРИНГОВЫЙ ЦЕНТР СВАРКА";410062, город Саратов, Московское шоссе, дом 14а
ООО "НАКС Стандарт-Диагностика";455019, Челябинская область, город Магнитогорск, улица Профсоюзная, дом 14, офис 111
ООО "Тюменский центр аттестации";625014, Тюменская область, город Тюмень, улица Республики, дом 252, строение 48
ООО "НАКС-ЛенОбл";188663, Ленинградская область, Всеволожский район, городской поселок Кузьмоловский, СТ Капитолово, литер А
ООО "РСЗ МАЦ";195009, город Санкт-Петербург, Лесной проспект, дом 9
ООО УАЦ "НАКС";427006, Удмуртская Республика, Завьяловский район, село Октябрьский, улица Солнечная, дом 3
ООО "ЦПС "Сварка и Контроль";454087, город Челябинск, улица Рылеева, дом 11
